sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.232,0.77,0.0,0.7512269166791222,0.24877308332087777,0.0,182.8,183.2
sample_2,3.223,1.776,0.0,0.49926902286998776,0.5007309771300122,0.0,103.0,109.3
sample_3,1.885,3.105,0.0,0.25012255601578426,0.7498774439842157,0.0,80.2,80.0
sample_4,4.209,0.0,0.803,0.7485832774761648,0.0,0.25141672252383523,218.3,135.4
sample_5,3.177,0.0,1.8033,0.5001910064946505,0.0,0.49980899350534946,137.6,135.3
sample_6,1.8618,0.0,3.1302,0.2525405647813862,0.0,0.7474594352186138,177.4,177.3
sample_7,0.0,3.7044,1.2834,0.0,0.7490075783366216,0.25099242166337843,136.0,131.8
sample_8,0.0,2.4491,2.5454,0.0,0.4986876682333986,0.5013123317666013,121.3,118.9
sample_9,0.0,1.215,3.788,0.0,0.24903300979550405,0.7509669902044959,195.9,181.0
sample_10,2.359,1.281,1.323,0.3360615965591103,0.3321446469471474,0.33179375649374243,97.9,97.6
